Series ID,Year,Period,Value
CUUR0000SA0,2014,M02,234.781
CUUR0000SA0,2014,M03,236.293
CUUR0000SA0,2014,M04,237.072
CUUR0000SA0,2014,M05,237.900
CUUR0000SA0,2014,M06,238.343
CUUR0000SA0,2014,M07,238.250
CUUR0000SA0,2014,M08,237.852
CUUR0000SA0,2014,M09,238.031
CUUR0000SA0,2014,M10,237.433
CUUR0000SA0,2014,M11,236.151
CUUR0000SA0,2014,M12,234.812
CUUR0000SA0,2015,M01,233.707
CUUR0000SA0,2015,M02,234.722
CUUR0000SA0,2015,M03,236.119
CUUR0000SA0,2015,M04,236.599
CUUR0000SA0,2015,M05,237.805
CUUR0000SA0,2015,M06,238.638
CUUR0000SA0,2015,M07,238.654
CUUR0000SA0,2015,M08,238.316
CUUR0000SA0,2015,M09,237.945
CUUR0000SA0,2015,M10,237.838
CUUR0000SA0,2015,M11,237.336
CUUR0000SA0,2015,M12,236.525
CUUR0000SA0,2016,M01,236.916
CUUR0000SA0,2016,M02,237.111
CUUR0000SA0,2016,M03,238.132
CUUR0000SA0,2016,M04,239.261
CUUR0000SA0,2016,M05,240.229
CUUR0000SA0,2016,M06,241.018
CUUR0000SA0,2016,M07,240.628
CUUR0000SA0,2016,M08,240.849
CUUR0000SA0,2016,M09,241.428
CUUR0000SA0,2016,M10,241.729
CUUR0000SA0,2016,M11,241.353
CUUR0000SA0,2016,M12,241.432
CUUR0000SA0,2017,M01,242.839
CUUR0000SA0,2017,M02,243.603
CUUR0000SA0,2017,M03,243.801
CUUR0000SA0,2017,M04,244.524
CUUR0000SA0,2017,M05,244.733
CUUR0000SA0,2017,M06,244.955
CUUR0000SA0,2017,M07,244.786
CUUR0000SA0,2017,M08,245.519
CUUR0000SA0,2017,M09,246.819
CUUR0000SA0,2017,M10,246.663
CUUR0000SA0,2017,M11,246.669
CUUR0000SA0,2017,M12,246.524
CUUR0000SA0,2018,M01,247.867
CUUR0000SA0,2018,M02,248.991
CUUR0000SA0,2018,M03,249.554
CUUR0000SA0,2018,M04,250.546
CUUR0000SA0,2018,M05,251.588
CUUR0000SA0,2018,M06,251.989
CUUR0000SA0,2018,M07,252.006
CUUR0000SA0,2018,M08,252.146
CUUR0000SA0,2018,M09,252.439
CUUR0000SA0,2018,M10,252.885
CUUR0000SA0,2018,M11,252.038
CUUR0000SA0,2018,M12,251.233
CUUR0000SA0,2019,M01,251.712
CUUR0000SA0,2019,M02,252.776
CUUR0000SA0,2019,M03,254.202
CUUR0000SA0,2019,M04,255.548
CUUR0000SA0,2019,M05,256.092
CUUR0000SA0,2019,M06,256.143
CUUR0000SA0,2019,M07,256.571
